"is_active","new_spending","Coupon","Male","ActiveDays","Spending"
0,0,0,1,1,16.76
0,0,1,0,2,36.62
0,0,0,0,1,16.88
0,0,1,1,2,34.94
0,0,1,0,1,16.9
0,0,0,1,2,35.86
0,0,0,0,0,0
0,0,0,1,2,49.98
1,27.62,1,1,2,50.76
1,14.65,0,0,0,0
0,0,1,0,2,27
0,0,0,1,0,0
0,0,0,0,3,80.91
0,0,1,1,0,0
1,17.82,1,0,1,16.8
0,0,1,1,1,24.18
0,0,0,0,0,0
0,0,1,1,1,18.08
1,34.83,1,0,2,44.06
0,0,0,1,3,47.31
0,0,1,1,2,39.46
1,11.61,0,1,0,0
0,0,0,1,3,40.68
0,0,0,0,2,36.22
0,0,0,1,2,34.62
1,33.87,1,0,1,31.72
0,0,0,0,2,32.64
0,0,0,1,3,64.74
1,27.96,1,1,2,38.82
0,0,0,0,2,45.32
0,0,0,1,1,26.66
1,14.64,0,0,0,0
0,0,1,0,1,20.37
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,0,1,16.04
1,18.44,1,0,2,36
0,0,0,1,1,26.87
1,14.4,0,0,3,37.41
0,0,1,1,2,33.5
0,0,1,0,2,15.56
0,0,1,0,4,150.52
0,0,0,0,1,20.43
1,29.88,1,0,0,0
1,16.02,0,0,1,21.11
0,0,0,1,0,0
1,31.96,0,1,0,0
0,0,0,0,3,72.6
0,0,1,1,0,0
1,30.46,1,1,1,22.22
0,0,0,0,0,0
1,25,0,1,1,17.22
0,0,1,0,0,0
0,0,1,0,0,0
1,30.57,0,1,1,25.78
0,0,1,0,1,20.07
0,0,0,1,1,23.4
0,0,0,0,1,9.04
0,0,1,1,1,21.63
0,0,1,0,1,18.22
0,0,0,0,2,29.76
1,17.35,1,0,1,24.89
1,18.55,0,0,1,20.42
0,0,1,1,0,0
0,0,0,0,3,66.39
0,0,0,1,0,0
0,0,0,0,1,29.33
0,0,1,0,2,52.44
0,0,1,0,0,0
1,28.85,0,0,2,65
0,0,1,0,1,7.29
0,0,0,1,3,44.1
1,15.31,1,0,3,47.4
0,0,1,0,2,45.38
0,0,0,0,2,45.02
1,29.39,1,1,1,24.41
0,0,1,0,0,0
1,21.55,0,0,2,43.02
0,0,0,1,1,17.46
0,0,0,1,2,22.3
0,0,0,1,1,24.81
0,0,1,1,2,33.02
1,23.21,1,1,3,57.6
1,18.33,1,0,1,20.16
0,0,1,1,3,19.41
0,0,1,0,1,8.29
0,0,0,1,0,0
0,0,0,1,2,51.12
1,38.66,1,0,1,27.25
1,5.96,1,1,1,8.91
0,0,1,1,0,0
0,0,1,0,1,11.8
0,0,0,0,2,38.96
1,45.7,1,0,1,27.95
0,0,1,0,0,0
1,31.61,1,0,2,51.42
0,0,1,1,0,0
0,0,1,0,1,27.45
0,0,0,0,1,15.66
1,25.91,1,0,3,57.15
0,0,1,1,2,49.02
0,0,0,1,3,72.39
1,21.24,1,0,2,37.94
0,0,1,1,0,0
0,0,0,0,1,13.7
1,21.46,1,0,3,75.18
0,0,1,0,1,21.84
0,0,0,0,3,69
0,0,1,1,1,23.81
0,0,0,0,1,16.66
1,18.23,0,0,3,54.63
0,0,0,1,0,0
0,0,0,0,2,44.5
0,0,0,0,4,121.16
0,0,0,0,2,36.32
0,0,0,1,2,50.02
1,22.73,1,1,2,39.68
0,0,1,1,0,0
1,12.73,0,0,1,22.33
0,0,1,0,3,32.31
1,15.98,1,1,1,14.58
0,0,1,0,0,0
0,0,0,0,2,29.54
0,0,1,0,2,36.06
0,0,1,1,2,37.32
1,22.23,1,1,3,50.13
0,0,1,1,1,16.17
0,0,0,1,2,33.52
1,24.66,1,1,2,41.84
0,0,1,0,1,22.77
0,0,1,1,3,90.9
0,0,0,0,0,0
0,0,0,1,1,15.8
0,0,1,1,4,67.6
0,0,0,0,2,47.12
0,0,0,0,3,31.8
1,17.57,0,0,4,93.6
0,0,1,1,0,0
0,0,0,1,0,0
1,34.08,1,1,1,24.58
0,0,0,1,0,0
1,30.97,1,0,2,45.04
0,0,0,0,1,22.79
0,0,1,0,1,24.25
0,0,0,0,1,21.49
1,9.4,0,1,0,0
1,12.26,1,0,0,0
0,0,0,0,3,47.73
0,0,1,1,2,12.1
0,0,1,1,1,30.55
0,0,0,1,3,49.35
0,0,1,0,3,56.43
0,0,1,0,2,24.56
1,5.36,1,0,1,10.28
0,0,0,1,1,21.76
0,0,1,1,1,30.54
0,0,1,0,2,42.2
0,0,0,0,3,51.72
0,0,1,0,0,0
0,0,0,0,0,0
0,0,1,0,1,14.46
0,0,1,1,1,28.95
0,0,0,0,1,19.88
0,0,1,0,2,35.68
0,0,0,0,1,15.27
0,0,0,0,0,0
0,0,1,1,1,19.02
0,0,0,1,0,0
1,30.87,1,1,2,33.7
0,0,1,1,1,15.39
0,0,1,0,1,20.75
1,18.78,0,1,1,25.03
0,0,0,0,0,0
0,0,0,0,1,21.2
0,0,0,1,2,39.62
1,26.4,1,1,1,22.39
0,0,0,1,1,12.86
0,0,1,0,1,22.46
0,0,0,0,1,13.31
1,8.33,0,1,1,16.03
0,0,0,1,4,98.72
0,0,0,0,1,24.52
0,0,0,0,1,15.95
0,0,1,1,1,24.39
1,24.28,0,0,1,24.82
0,0,1,0,1,11.53
0,0,1,0,3,39.39
1,17.89,0,1,0,0
0,0,0,0,0,0
0,0,1,1,1,30.75
0,0,0,1,1,11.92
0,0,1,0,0,0
0,0,1,1,1,5.87
0,0,0,0,0,0
1,27.97,1,0,2,42.62
1,22.68,1,1,0,0
0,0,1,1,1,25.39
0,0,0,1,1,22.75
0,0,1,0,1,22.12
0,0,1,1,1,20.68
0,0,0,1,2,45.92
0,0,1,1,2,52.48
1,39.8,1,1,0,0
0,0,0,0,1,18.31
0,0,1,0,1,17.02
0,0,1,1,2,49.74
0,0,0,0,0,0
0,0,1,1,1,17.21
0,0,0,1,1,11.48
0,0,0,1,4,76
0,0,0,1,1,27.45
0,0,0,0,2,28
0,0,0,0,2,32.12
0,0,0,1,0,0
1,13.79,0,0,1,14.99
0,0,1,1,3,47.16
0,0,1,0,1,13.44
0,0,0,1,2,39.92
1,14.06,1,1,3,43.02
1,23.11,1,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,1,1,2,16.14
0,0,0,1,1,27.39
0,0,1,1,2,33.88
0,0,1,0,0,0
1,19.4,0,1,1,25.95
0,0,0,0,0,0
1,26.31,0,0,1,15.28
0,0,1,1,3,66.36
0,0,0,1,2,46.44
0,0,1,0,1,24.99
0,0,0,1,1,28.87
1,22.75,1,0,0,0
0,0,0,0,1,24.16
0,0,1,0,5,94.2
1,12.12,0,0,4,34.12
0,0,1,0,0,0
1,25.95,0,1,2,34.92
0,0,1,0,0,0
0,0,1,0,2,46.5
0,0,0,0,1,26.37
0,0,0,1,0,0
1,22.08,1,0,1,15.13
0,0,1,0,2,33.92
1,37.59,1,0,1,27.02
0,0,0,1,0,0
1,11.73,0,1,1,13.12
0,0,1,0,0,0
0,0,1,0,2,59.94
0,0,0,1,2,38.8
0,0,0,0,2,37.26
0,0,0,1,2,35.54
0,0,1,1,1,16.75
0,0,1,1,3,54.45
0,0,1,0,2,57.14
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,1,19.08
0,0,1,0,2,40.28
0,0,0,0,2,55
0,0,1,0,1,21.58
0,0,1,1,1,18.64
0,0,0,1,2,47.9
1,29.34,1,1,1,19.99
1,37.59,1,0,1,26.59
0,0,1,1,2,34.82
0,0,0,0,0,0
0,0,1,0,1,26.43
0,0,0,1,1,11.37
1,19.38,1,1,1,21.45
0,0,0,1,1,23.77
1,21.08,0,1,1,19.25
0,0,0,1,1,17.68
1,32.94,1,0,0,0
1,31.54,0,0,0,0
0,0,1,1,1,20.71
0,0,0,0,2,31.12
0,0,1,0,0,0
0,0,1,0,5,121.2
0,0,1,0,1,11.21
1,41.71,1,0,1,35.68
0,0,0,0,1,11.51
0,0,0,0,1,19.75
0,0,1,0,1,15.36
0,0,1,0,1,5.6
0,0,0,0,2,52.14
0,0,1,1,2,49.74
0,0,1,0,1,14.61
0,0,0,0,3,68.37
0,0,1,0,0,0
0,0,0,0,2,38.06
0,0,1,0,1,28.64
1,22.86,1,1,0,0
0,0,0,0,2,44.4
0,0,0,0,0,0
0,0,0,0,2,28.08
0,0,1,1,0,0
1,23.91,1,0,2,51.48
0,0,1,0,1,22.15
1,2.59,1,0,2,12.74
1,14.59,0,0,0,0
0,0,1,1,2,47.66
1,13.46,0,0,0,0
0,0,0,0,2,31.26
0,0,1,1,0,0
0,0,1,0,2,30.72
0,0,0,1,2,46.56
0,0,0,0,4,125.72
1,11.87,0,0,3,55.98
1,11.44,1,1,0,0
0,0,1,0,1,25.41
1,35.1,1,1,2,40.38
0,0,1,1,2,24.1
0,0,0,0,3,73.74
1,18.21,1,1,1,11.56
0,0,0,0,2,37.4
0,0,0,0,2,21.38
1,26.44,0,1,1,21.85
0,0,0,0,1,11.88
0,0,0,0,2,15.68
0,0,0,0,1,24.21
0,0,1,1,0,0
0,0,1,0,0,0
1,37.97,1,0,0,0
0,0,1,1,0,0
0,0,0,1,1,25.04
0,0,1,0,3,67.5
0,0,1,0,2,23.98
0,0,1,0,1,7.18
0,0,0,1,0,0
0,0,1,1,1,14.76
0,0,0,1,2,39
0,0,1,0,1,22.14
0,0,1,0,1,14.76
1,17.32,0,0,0,0
0,0,0,1,0,0
1,23.45,0,1,1,28.46
0,0,1,0,2,26.16
0,0,1,0,2,54.96
0,0,1,1,2,10.38
0,0,0,0,2,39.16
1,11.97,1,0,2,28.74
0,0,0,1,3,70.2
0,0,1,0,0,0
0,0,0,1,2,25
0,0,1,1,0,0
0,0,0,0,2,53.04
0,0,1,0,2,18.66
0,0,0,0,2,56.3
0,0,1,0,2,47.3
0,0,0,0,1,21.27
0,0,1,1,4,72.88
0,0,0,1,1,13.03
1,25.2,0,0,2,42.2
1,22.37,1,0,1,22.96
1,20.35,0,0,2,39.28
0,0,1,1,0,0
1,41.4,1,0,3,96.96
0,0,0,0,1,16.33
1,38.19,1,1,1,25.96
0,0,1,1,2,43.68
0,0,1,0,1,13.92
0,0,1,0,0,0
0,0,0,0,3,69.12
0,0,1,0,2,43.14
0,0,0,0,2,25.16
1,0.14,1,1,2,6.12
0,0,0,0,1,11.3
1,12.63,0,0,2,28.24
1,33.92,0,1,2,67.4
0,0,0,1,2,50.46
0,0,0,0,1,15.92
0,0,0,0,1,14
1,22.59,1,0,2,26.74
0,0,0,1,1,19.39
0,0,0,0,2,37.46
0,0,1,1,1,20.78
0,0,1,1,2,40.12
0,0,0,1,1,11.14
1,46.46,1,1,1,29.07
0,0,1,0,1,23.79
0,0,0,0,1,25.03
0,0,1,1,1,21.22
0,0,0,0,4,77.32
1,36.4,1,0,1,24.23
0,0,1,1,1,15.25
1,17.25,0,1,3,41.01
1,27.65,1,1,2,40.72
0,0,0,1,1,17.19
0,0,1,0,2,53.24
0,0,1,0,1,19.23
0,0,0,0,2,42.92
0,0,1,0,1,14.46
0,0,0,0,2,43.02
0,0,0,0,3,73.23
0,0,1,1,3,63.69
0,0,0,1,1,16.46
1,29.29,1,1,3,67.11
1,16.7,1,1,0,0
0,0,0,0,2,26.12
0,0,0,0,1,20.55
0,0,0,1,3,57.45
1,22.57,0,1,0,0
0,0,0,0,0,0
1,21.77,1,0,1,17.63
0,0,1,1,3,41.7
1,14.6,0,1,3,49.08
1,37.16,1,1,1,27.93
0,0,0,0,1,14.96
0,0,0,0,1,9.48
1,35.23,1,0,2,45.18
0,0,1,1,2,21.54
0,0,1,0,1,1.23
1,15,0,0,3,78.33
0,0,0,1,2,37.48
0,0,0,1,2,54.74
0,0,1,1,0,0
0,0,1,1,1,17.15
0,0,0,1,3,29.1
0,0,1,1,1,22.36
1,6.06,0,1,0,0
0,0,1,1,1,14.03
1,24.03,0,0,1,21.15
0,0,0,0,1,32.91
1,33.92,1,0,4,111.24
0,0,1,0,3,42.27
0,0,0,0,1,25.42
1,26.81,0,0,1,22.64
1,35.28,0,1,1,25.27
0,0,1,0,1,27.16
0,0,0,1,1,31.31
0,0,0,1,1,11.13
0,0,1,0,3,39.75
0,0,0,0,2,42.02
0,0,0,0,2,69.96
0,0,0,1,2,46.14
1,38.85,1,1,1,26.66
0,0,1,1,2,30.48
1,28.27,1,1,3,50.01
0,0,1,0,2,37.7
0,0,0,0,0,0
0,0,0,0,2,33.58
0,0,1,1,3,41.79
0,0,0,1,2,28.9
0,0,0,0,1,23.91
0,0,1,1,1,20.82
0,0,1,1,3,58.41
0,0,1,0,3,21.12
1,30.95,1,1,2,49.32
1,9.75,0,0,1,12.97
1,20.48,0,1,1,13.38
0,0,0,1,1,27.6
0,0,0,0,0,0
0,0,0,1,1,26.71
0,0,1,1,1,10.14
1,33.22,1,1,1,20.03
1,21.54,1,1,1,13.89
1,22.8,1,0,1,18.62
0,0,0,0,2,41.36
1,11.2,0,1,0,0
0,0,0,0,2,37.84
0,0,1,1,0,0
1,34.38,1,0,0,0
0,0,0,1,2,48.58
0,0,0,0,4,58.44
0,0,0,0,1,22.28
0,0,1,1,4,75.88
1,27.04,1,0,2,45.36
0,0,0,1,1,17.99
0,0,1,1,2,48.2
0,0,0,0,2,43.56
0,0,0,1,2,41.12
0,0,0,0,1,21.88
0,0,1,1,2,38.82
0,0,0,0,2,54.56
0,0,0,0,1,13.33
0,0,1,0,2,34.2
0,0,1,1,2,27.1
0,0,0,0,2,36.84
1,13.29,1,0,3,47.64
0,0,1,0,4,40.28
0,0,0,0,0,0
1,36.14,1,0,3,68.43
1,11.97,0,0,1,16.82
0,0,0,0,0,0
0,0,1,0,1,27.57
0,0,1,1,2,48.42
0,0,0,0,1,26.59
0,0,0,0,1,26.94
0,0,1,1,4,85.28
0,0,0,0,1,31.23
1,15.32,1,1,3,57.15
0,0,0,1,2,64.2
0,0,0,1,2,25.12
0,0,0,0,0,0
1,7.04,1,0,0,0
0,0,0,1,1,19.97
0,0,0,1,0,0
0,0,0,1,0,0
1,15.86,0,1,1,19.65
1,1.73,0,0,1,8.25
0,0,1,1,2,41.58
1,25.28,1,0,0,0
0,0,1,1,1,21.27
1,31.4,1,0,1,21.91
1,11.45,0,1,1,16.53
1,8.8,1,1,0,0
1,18.68,0,0,3,39.12
0,0,1,1,4,92.72
0,0,1,0,1,20.35
0,0,0,1,1,10.23
1,23.7,0,0,3,75.81
0,0,0,1,1,23.83
0,0,0,1,0,0
0,0,0,0,2,46.9
0,0,0,0,3,60
0,0,0,1,1,23.9
0,0,1,0,0,0
1,18.93,1,0,1,10.53
0,0,1,0,2,52.46
0,0,1,0,3,56.79
1,22.35,1,0,2,40.12
1,33.15,0,0,3,123.3
0,0,1,0,1,29.72
1,20.45,0,0,2,41.34
1,27.48,1,1,1,24.45
0,0,0,1,0,0
0,0,1,1,2,27.18
0,0,1,0,0,0
1,14.35,0,1,1,14.87
0,0,1,0,1,14.91
0,0,1,1,2,48.08
1,30.4,1,0,0,0
0,0,1,1,0,0
1,22.48,0,1,1,21.13
1,21.14,0,1,0,0
1,17.01,1,1,3,44.85
0,0,0,0,1,15.24
0,0,1,1,1,11.92
1,43.66,1,1,1,35.23
0,0,0,0,0,0
0,0,1,0,4,91.56
0,0,1,0,2,42.74
0,0,1,0,1,25.2
0,0,1,0,4,33.56
0,0,0,0,0,0
0,0,1,1,3,30.81
0,0,0,0,1,19.09
0,0,0,0,1,23.38
0,0,1,0,3,22.05
1,24.39,0,0,1,19.76
0,0,0,0,3,66.54
0,0,0,0,3,59.28
1,28.01,1,1,0,0
0,0,1,0,0,0
0,0,0,1,2,36.72
0,0,0,0,3,84.09
0,0,1,0,0,0
0,0,1,1,1,29.23
1,5.95,1,0,1,7.69
0,0,1,1,1,22.17
1,22.55,0,0,1,20.32
0,0,1,1,2,23.64
0,0,1,1,1,26.39
0,0,0,1,1,35.82
0,0,1,0,2,44.74
0,0,1,1,0,0
0,0,0,0,1,23.73
0,0,1,1,5,100.8
0,0,0,0,1,17.09
0,0,0,0,2,50.2
0,0,1,0,1,19.17
0,0,0,0,1,16.57
0,0,0,0,1,17.71
0,0,0,1,0,0
0,0,1,1,3,95.49
0,0,1,0,0,0
0,0,0,1,1,30.95
0,0,0,1,3,44.58
0,0,0,1,3,33.42
0,0,1,0,0,0
1,31.3,1,1,1,27.16
0,0,0,0,1,22.18
0,0,0,1,2,35
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,14.19
0,0,0,0,0,0
0,0,0,1,0,0
1,26.36,0,0,1,25.83
0,0,1,1,1,30.06
0,0,0,0,1,28.07
0,0,0,1,3,39.57
0,0,0,1,2,20.44
0,0,0,0,2,56.26
1,19.56,0,0,3,57
0,0,0,0,2,34.82
0,0,0,0,2,59.72
0,0,0,1,0,0
1,19.72,1,1,1,16.52
0,0,1,1,2,51.94
0,0,1,1,1,25.82
0,0,1,0,1,24.04
0,0,1,0,2,52.28
0,0,1,0,0,0
0,0,0,1,3,58.29
1,9.77,1,0,1,7.87
0,0,0,1,0,0
0,0,0,0,2,52.88
0,0,0,1,1,22.83
0,0,0,1,2,49
1,6.45,0,1,2,16.08
0,0,0,1,1,35.63
0,0,0,0,2,46.42
0,0,1,0,0,0
0,0,1,0,1,18.61
0,0,0,0,1,22.16
0,0,1,0,0,0
0,0,0,1,2,39.58
0,0,0,1,2,26.1
0,0,1,1,2,54.38
1,10.73,1,1,3,37.11
0,0,1,0,1,26.68
0,0,1,1,1,24.71
0,0,0,1,2,24.02
0,0,0,0,2,48.32
1,29.75,1,0,2,40.76
0,0,0,0,1,15.99
0,0,0,0,4,73.28
0,0,0,1,1,14.78
0,0,0,0,1,18.61
1,16.29,1,0,6,60.96
0,0,0,0,1,24.49
0,0,0,1,2,43.5
0,0,0,0,1,23.4
1,23.48,1,0,2,33.9
0,0,1,0,1,22.06
0,0,0,0,3,87.63
0,0,1,0,1,15.41
0,0,1,1,1,19.36
0,0,0,1,0,0
1,19.47,0,0,2,52.42
0,0,1,1,1,19.9
0,0,0,1,1,21.38
0,0,0,1,1,21.23
0,0,0,0,2,9.82
0,0,0,1,0,0
0,0,0,1,4,101.32
0,0,1,0,3,29.07
0,0,0,1,2,47.68
0,0,1,1,1,13.33
0,0,1,1,0,0
0,0,0,0,2,51.24
0,0,1,1,0,0
0,0,1,1,2,33.64
0,0,1,1,0,0
1,15.11,0,1,0,0
0,0,1,0,1,25.07
0,0,1,0,2,40.28
1,20,0,0,1,17.38
0,0,1,0,0,0
0,0,1,1,1,23.86
1,30.18,1,0,1,26.81
0,0,0,1,0,0
0,0,0,0,1,14.97
0,0,0,0,1,27.19
0,0,1,0,1,22.55
0,0,1,1,0,0
0,0,1,0,1,12.76
0,0,1,1,1,16.94
0,0,1,0,2,15.84
0,0,0,1,2,32.84
0,0,1,1,1,11.15
0,0,0,0,0,0
1,34.67,1,1,3,80.22
0,0,0,0,2,40.66
0,0,1,0,2,27.54
0,0,0,0,2,45.94
0,0,0,1,3,64.11
0,0,0,1,1,22.75
1,16.16,1,1,1,8.59
0,0,0,1,1,15.34
0,0,0,0,1,21.7
0,0,1,0,4,95.24
0,0,0,1,3,65.01
0,0,0,1,2,47.58
1,35.82,1,1,0,0
0,0,0,1,3,80.85
0,0,0,0,3,38.22
0,0,1,0,2,31.9
0,0,1,0,1,24.33
1,23.61,1,0,1,18.97
1,19.85,1,0,3,33.93
0,0,0,1,1,15.71
0,0,1,0,4,115.84
0,0,1,0,0,0
0,0,0,0,1,17.44
1,27.95,1,1,1,17.36
1,21.44,0,1,1,24.44
1,19.96,1,1,3,50.67
0,0,0,1,4,64.88
0,0,0,1,1,20.15
0,0,0,0,1,23.62
1,19.44,0,0,1,21.52
0,0,1,1,1,13.63
0,0,0,1,2,51.18
0,0,1,1,2,44.48
0,0,0,0,1,16.34
0,0,1,1,1,25.25
0,0,0,1,0,0
1,29.63,1,1,1,27.46
0,0,1,0,2,39.72
0,0,1,1,1,21.09
0,0,0,0,1,10.45
0,0,1,1,0,0
0,0,1,0,2,54.12
0,0,0,1,1,23.05
0,0,0,1,1,12.82
0,0,1,1,1,16.68
0,0,1,1,2,19.52
0,0,0,0,1,14.62
0,0,0,1,2,31.58
0,0,0,0,2,54.18
1,22.11,1,0,1,17.32
1,16.04,0,0,0,0
0,0,0,1,1,13.41
0,0,0,1,0,0
0,0,0,1,1,22.01
0,0,0,1,1,22.58
0,0,1,0,2,38.82
1,0,0,0,1,5.6
0,0,0,0,2,42.28
0,0,0,0,2,64.14
0,0,1,1,0,0
0,0,0,1,1,21.33
0,0,1,0,1,21.92
1,17.95,0,1,1,17.47
0,0,1,1,2,45.92
0,0,0,0,1,20.41
0,0,0,0,1,20.48
0,0,0,1,1,23.17
0,0,0,1,1,16.28
1,26.89,0,1,2,48.9
0,0,1,1,1,13.98
0,0,0,0,1,26.49
1,35.58,1,0,1,27.53
1,7.17,0,1,3,37.29
0,0,1,1,2,50.64
0,0,0,0,2,32.76
0,0,0,0,1,19.58
0,0,0,0,2,18.48
0,0,1,1,3,64.5
0,0,1,1,2,70.2
0,0,0,0,1,17.96
0,0,1,0,1,27.62
0,0,0,0,0,0
1,23.15,1,0,1,22.61
0,0,0,0,2,33.18
0,0,1,1,1,17.3
0,0,0,1,1,28.74
0,0,0,1,1,17.27
0,0,0,0,0,0
0,0,0,1,2,37.66
0,0,1,0,1,21.76
0,0,0,0,2,65.62
0,0,1,1,1,19.62
0,0,0,0,1,15.3
0,0,1,0,1,31.5
0,0,1,1,4,104.88
1,33.38,1,1,2,56.38
0,0,0,0,1,32.95
1,30.41,0,1,1,24.34
0,0,0,0,0,0
1,22.26,0,1,3,54.6
1,25.02,1,1,2,40.26
1,0,0,0,3,27.57
1,37.78,1,1,1,31.37
0,0,0,1,2,54.64
0,0,1,0,1,24.85
0,0,0,0,1,23.69
0,0,0,0,2,18.74
0,0,1,1,1,21.93
1,32.37,0,1,3,67.68
0,0,1,0,0,0
1,16.45,0,0,1,11.79
0,0,0,0,2,34.84
0,0,1,1,3,54.63
0,0,0,1,1,16.79
1,39.2,1,0,0,0
0,0,1,0,1,6.95
0,0,1,0,1,28.24
0,0,1,1,0,0
0,0,1,1,2,48.06
1,24.79,1,1,0,0
1,26.5,1,0,3,60.9
0,0,0,0,0,0
0,0,0,1,1,18.39
0,0,0,0,2,52.08
0,0,0,0,1,12.36
0,0,1,0,0,0
1,19.85,0,0,2,42.74
0,0,0,1,3,66.39
0,0,1,0,0,0
0,0,1,1,3,87.51
0,0,0,0,0,0
0,0,0,0,1,32.85
1,22.67,0,0,3,68.91
0,0,0,1,0,0
1,31.34,1,1,1,18.76
0,0,0,0,0,0
0,0,0,0,1,5.93
0,0,1,1,1,28.82
0,0,0,0,0,0
0,0,1,0,3,60.39
0,0,0,0,2,66.42
0,0,1,0,0,0
0,0,0,1,2,78.78
0,0,1,0,0,0
0,0,0,0,2,44.08
0,0,0,1,0,0
1,14.04,0,0,0,0
0,0,0,0,2,29.5
1,29.37,1,0,1,25.03
0,0,1,1,1,21.51
0,0,0,0,0,0
0,0,1,0,3,48.27
0,0,1,1,3,66.93
1,34.98,1,1,3,82.89
1,15.8,1,1,0,0
0,0,0,0,1,21.21
0,0,0,0,0,0
0,0,1,1,3,42.93
1,15.46,0,1,1,16.04
0,0,0,1,2,56.72
0,0,1,1,2,20.98
0,0,1,1,2,45.74
0,0,0,1,3,63.09
0,0,1,1,2,57.86
0,0,0,0,3,77.67
0,0,0,0,2,47.76
1,52.28,1,1,1,34.1
0,0,1,1,1,24.54
0,0,1,1,1,21.68
0,0,0,1,2,16.84
1,15.62,1,1,3,60.27
0,0,1,0,2,43.02
1,20.48,1,1,5,63.15
0,0,0,1,1,20.83
0,0,1,1,2,25.06
0,0,0,0,2,45.44
0,0,0,0,2,51.74
0,0,0,0,0,0
1,24.72,1,1,1,17.49
0,0,0,0,0,0
0,0,0,1,0,0
0,0,1,0,3,69.3
0,0,0,1,2,55.84
1,13.79,1,1,3,47.97
0,0,1,1,1,23.58
0,0,1,1,0,0
0,0,1,0,1,20.66
0,0,0,0,3,50.73
0,0,0,1,1,24.59
0,0,1,1,3,66.66
0,0,0,0,2,60.6
1,17.43,0,0,2,47.62
0,0,0,1,0,0
0,0,0,1,2,41.28
1,9.25,0,0,3,36.24
0,0,0,0,0,0
1,0,0,0,2,17.8
0,0,1,0,1,25.99
0,0,0,1,1,20.7
0,0,0,1,0,0
0,0,0,1,1,23.15
0,0,1,1,1,13.18
0,0,1,0,0,0
0,0,0,0,2,66.62
0,0,0,1,3,44.13
0,0,0,1,1,20.61
1,4.15,0,0,1,2.03
0,0,1,1,4,83.8
0,0,0,0,3,62.79
1,12.96,0,1,1,17.58
1,7.55,0,0,1,17.03
0,0,0,1,0,0
0,0,1,1,1,31.96
0,0,0,1,0,0
